   text	   data	    bss	    dec	    hex	filename
     36	      0	      0	     36	     24	any.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
   3920	      0	      0	   3920	    f50	Bsec.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    206	      0	      0	    206	     ce	bsec_codegen_data.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    780	      0	      0	    780	    30c	bsec_codegen_do_steps.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    180	      0	      0	    180	     b4	bsec_codegen_get_configuration.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    172	      0	      0	    172	     ac	bsec_codegen_get_state.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     18	      0	      0	     18	     12	bsec_codegen_get_version.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
      8	      0	      0	      8	      8	bsec_codegen_init.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     48	      0	      0	     48	     30	bsec_codegen_reset_output.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    116	      0	      0	    116	     74	bsec_codegen_rtwutil.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
   1432	      0	      0	   1432	    598	bsec_codegen_sensor_control.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    164	      0	      0	    164	     a4	bsec_codegen_set_configuration.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    144	      0	      0	    144	     90	bsec_codegen_set_state.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    796	      0	      0	    796	    31c	bsec_codegen_update_subscription.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    300	      0	   3104	   3404	    d4c	bsec_interface.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     76	      0	      0	     76	     4c	bsxfun.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     64	      0	      0	     64	     40	Channel.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
   3733	      0	      0	   3733	    e95	ChannelHub.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     24	      0	      0	     24	     18	constructor_bsec.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    240	      0	      0	    240	     f0	convertHumidity.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    568	      0	      0	    568	    238	crcCcitt2.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
   2600	      0	   1284	   3884	    f2c	Entity.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    228	      0	      0	    228	     e4	ExpSmoothing.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     40	      0	      0	     40	     28	ExpSmoothingBsec.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
   2672	      0	      0	   2672	    a70	GasEstimator.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
   2612	      0	      0	   2612	    a34	GasHumidityBaselineTracker.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    448	      0	      0	    448	    1c0	GasHumidityPreProcessor.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    584	      0	      0	    584	    248	HumidityTemperatureCorrector.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
   1308	      0	      0	   1308	    51c	IaqEstimator.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     14	      0	      0	     14	      e	isequal.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     92	      0	      0	     92	     5c	ixamax.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     36	      0	      0	     36	     24	log.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     14	      0	      0	     14	      e	log10.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     30	      0	      0	     30	     1e	polyfit.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     54	      0	      0	     54	     36	polyval.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    200	      0	      0	    200	     c8	qrsolve.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    352	      0	      0	    352	    160	rdivide_helper.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    228	      0	      0	    228	     e4	rem.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    824	      0	      0	    824	    338	SensorHeatCompensator.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    896	      0	      0	    896	    380	SensorStatusTracker.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     94	      0	      0	     94	     5e	Serialization.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     44	      0	      0	     44	     2c	sqrt.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    112	      0	      0	    112	     70	sum.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     18	      0	      0	     18	     12	vander.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    146	      0	      0	    146	     92	xgemv.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    364	      0	      0	    364	    16c	xgeqp3.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    160	      0	      0	    160	     a0	xgerc.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    296	      0	      0	    296	    128	xnrm2.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
     40	      0	      0	     40	     28	xswap.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    182	      0	      0	    182	     b6	xunormqr.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    166	      0	      0	    166	     a6	xzlarf.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
    524	      0	      0	    524	    20c	xzlarfg.o (ex 00000000000001BD_SELECTIVITY\cortex-m0+\libalgobsec.a)
  28403	      0	   4388	  32791	   8017	(TOTALS)
