   text	   data	    bss	    dec	    hex	filename
     30	      0	      0	     30	     1e	any.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
   3380	      0	      0	   3380	    d34	Bsec.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    206	      0	      0	    206	     ce	bsec_codegen_data.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    740	      0	      0	    740	    2e4	bsec_codegen_do_steps.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    178	      0	      0	    178	     b2	bsec_codegen_get_configuration.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    178	      0	      0	    178	     b2	bsec_codegen_get_state.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     18	      0	      0	     18	     12	bsec_codegen_get_version.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
      4	      0	      0	      4	      4	bsec_codegen_init.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     48	      0	      0	     48	     30	bsec_codegen_reset_output.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    120	      0	      0	    120	     78	bsec_codegen_rtwutil.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
   1332	      0	      0	   1332	    534	bsec_codegen_sensor_control.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    150	      0	      0	    150	     96	bsec_codegen_set_configuration.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    136	      0	      0	    136	     88	bsec_codegen_set_state.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    788	      0	      0	    788	    314	bsec_codegen_update_subscription.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    316	      0	   3104	   3420	    d5c	bsec_interface.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     72	      0	      0	     72	     48	bsxfun.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     64	      0	      0	     64	     40	Channel.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
   3485	      0	      0	   3485	    d9d	ChannelHub.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     24	      0	      0	     24	     18	constructor_bsec.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    208	      0	      0	    208	     d0	convertHumidity.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    564	      0	      0	    564	    234	crcCcitt2.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
   2708	      0	   1284	   3992	    f98	Entity.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    228	      0	      0	    228	     e4	ExpSmoothing.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     40	      0	      0	     40	     28	ExpSmoothingBsec.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
   2680	      0	      0	   2680	    a78	GasEstimator.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
   2700	      0	      0	   2700	    a8c	GasHumidityBaselineTracker.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    452	      0	      0	    452	    1c4	GasHumidityPreProcessor.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    612	      0	      0	    612	    264	HumidityTemperatureCorrector.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
   1272	      0	      0	   1272	    4f8	IaqEstimator.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     12	      0	      0	     12	      c	isequal.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     96	      0	      0	     96	     60	ixamax.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     44	      0	      0	     44	     2c	log.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     18	      0	      0	     18	     12	log10.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     30	      0	      0	     30	     1e	polyfit.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     48	      0	      0	     48	     30	polyval.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    216	      0	      0	    216	     d8	qrsolve.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    296	      0	      0	    296	    128	rdivide_helper.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    256	      0	      0	    256	    100	rem.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    848	      0	      0	    848	    350	SensorHeatCompensator.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    884	      0	      0	    884	    374	SensorStatusTracker.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     98	      0	      0	     98	     62	Serialization.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     60	      0	      0	     60	     3c	sqrt.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    122	      0	      0	    122	     7a	sum.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     18	      0	      0	     18	     12	vander.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    120	      0	      0	    120	     78	xgemv.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    392	      0	      0	    392	    188	xgeqp3.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    116	      0	      0	    116	     74	xgerc.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    284	      0	      0	    284	    11c	xnrm2.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
     40	      0	      0	     40	     28	xswap.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    170	      0	      0	    170	     aa	xunormqr.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    182	      0	      0	    182	     b6	xzlarf.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
    476	      0	      0	    476	    1dc	xzlarfg.o (ex 00000000000001BD_SELECTIVITY\cortex-m4\fpv4-sp-d16-hard\libalgobsec.a)
  27559	      0	   4388	  31947	   7ccb	(TOTALS)
