   text	   data	    bss	    dec	    hex	filename
     85	      0	      0	     85	     55	any.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   4313	      0	      0	   4313	   10d9	Bsec.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    206	      0	      0	    206	     ce	bsec_codegen_data.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    933	      0	      0	    933	    3a5	bsec_codegen_do_steps.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    261	      0	      0	    261	    105	bsec_codegen_get_configuration.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    255	      0	      0	    255	     ff	bsec_codegen_get_state.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     22	      0	      0	     22	     16	bsec_codegen_get_version.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     23	      0	      0	     23	     17	bsec_codegen_init.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     87	      0	      0	     87	     57	bsec_codegen_reset_output.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    225	      0	      0	    225	     e1	bsec_codegen_rtwutil.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   1719	      0	      0	   1719	    6b7	bsec_codegen_sensor_control.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    208	      0	      0	    208	     d0	bsec_codegen_set_configuration.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    188	      0	      0	    188	     bc	bsec_codegen_set_state.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   1074	      0	      0	   1074	    432	bsec_codegen_update_subscription.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    453	      0	   3112	   3565	    ded	bsec_interface.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    162	      0	      0	    162	     a2	bsxfun.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     78	      0	      0	     78	     4e	Channel.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   4941	      0	      0	   4941	   134d	ChannelHub.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     55	      0	      0	     55	     37	constructor_bsec.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    446	      0	      0	    446	    1be	convertHumidity.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    582	      0	      0	    582	    246	crcCcitt2.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   3999	      0	   1284	   5283	   14a3	Entity.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    405	      0	      0	    405	    195	ExpSmoothing.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     58	      0	      0	     58	     3a	ExpSmoothingBsec.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   4095	      0	      0	   4095	    fff	GasEstimator.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   4001	      0	      0	   4001	    fa1	GasHumidityBaselineTracker.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    710	      0	      0	    710	    2c6	GasHumidityPreProcessor.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    956	      0	      0	    956	    3bc	HumidityTemperatureCorrector.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   2080	      0	      0	   2080	    820	IaqEstimator.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     18	      0	      0	     18	     12	isequal.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    125	      0	      0	    125	     7d	ixamax.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     88	      0	      0	     88	     58	log.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     32	      0	      0	     32	     20	log10.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     53	      0	      0	     53	     35	polyfit.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    127	      0	      0	    127	     7f	polyval.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    325	      0	      0	    325	    145	qrsolve.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    473	      0	      0	    473	    1d9	rdivide_helper.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    414	      0	      0	    414	    19e	rem.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   1215	      0	      0	   1215	    4bf	SensorHeatCompensator.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
   1270	      0	      0	   1270	    4f6	SensorStatusTracker.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    131	      0	      0	    131	     83	Serialization.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     93	      0	      0	     93	     5d	sqrt.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    229	      0	      0	    229	     e5	sum.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     21	      0	      0	     21	     15	vander.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    201	      0	      0	    201	     c9	xgemv.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    569	      0	      0	    569	    239	xgeqp3.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    255	      0	      0	    255	     ff	xgerc.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    517	      0	      0	    517	    205	xnrm2.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
     40	      0	      0	     40	     28	xswap.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    325	      0	      0	    325	    145	xunormqr.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    304	      0	      0	    304	    130	xzlarf.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
    835	      0	      0	    835	    343	xzlarfg.o (ex 00000000000001BD_SELECTIVITY\esp8266\libalgobsec.a)
  40280	      0	   4396	  44676	   ae84	(TOTALS)
